p,voiceless bilabial stop
b,voiced bilabial stop
ɸ,voiceless bilabial fricative
m,voiced bilabial nasal
t,voiceless alveolar stop
d,voiced alveolar stop
s,voiceless alveolar fricative
z,voiced alveolar fricative
ts,voiceless alveolar affricate
dz,voiced alveolar affricate
n,voiced alveolar nasal
ɾ,voiced alveolar liquid
ʃ,voiceless alveo-palatal fricative
tʃ,voiceless alveo-palatal affricate
dʒ,voiced alveo-palatal affricate
ç,voiceless palatal fricative
j,voiced palatal glide
k,voiceless velar stop
g,voiced velar stop
ŋ,voiced velar nasal
w,voiced velar glide
ɴ,voiced uvular nasal
h,voiceless glottal fricative
i,high front unrounded vowel
e,mid front unrounded vowel
a,low back unrounded vowel
o,mid back rounded vowel
ɯ,high back unrounded vowel
